bhk,type,region,status,age
3,Apartment,Andheri West,Ready to move,New
2,Apartment,Naigaon East,Under Construction,New
2,Apartment,Borivali West,Under Construction,New
2,Apartment,Panvel,Under Construction,New
2,Apartment,Mira Road East,Under Construction,New
2,Apartment,Parel,Under Construction,New
5,Villa,Boisar,Under Construction,New
3,Apartment,Santacruz East,Under Construction,New
1,Apartment,Badlapur East,Ready to move,New
2,Apartment,Fort,Under Construction,New
1,Studio Apartment,Badlapur West,Under Construction,New
2,Apartment,Khopoli,Under Construction,New
3,Apartment,Chembur,Under Construction,New
2,Apartment,Jogeshwari West,Under Construction,New
1,Apartment,Vasai,Under Construction,New
2,Apartment,Kalamboli,Under Construction,New
1,Apartment,Powai,Under Construction,New
3,Apartment,Ghansoli,Ready to move,New
2,Apartment,Thane West,Under Construction,New
3,Apartment,Andheri West,Under Construction,New
2,Apartment,Vikhroli,Under Construction,New
1,Apartment,Bhiwandi,Under Construction,New
1,Apartment,Chembur,Under Construction,New
1,Apartment,Thane West,Under Construction,New
2,Apartment,Airoli,Under Construction,New
2,Apartment,Ambernath West,Under Construction,New
2,Apartment,Bhiwandi,Ready to move,New
2,Apartment,Borivali East,Under Construction,New
1,Apartment,Panvel,Under Construction,New
2,Apartment,Ambernath West,Ready to move,New
1,Apartment,Virar,Under Construction,New
1,Apartment,Panvel,Under Construction,New
4,Apartment,Kharghar,Under Construction,New
1,Apartment,Ulwe,Under Construction,New
3,Apartment,Panvel,Under Construction,New
2,Apartment,Thane West,Under Construction,New
1,Apartment,Kamothe,Under Construction,New
2,Apartment,Jogeshwari East,Under Construction,New
3,Apartment,Mulund West,Under Construction,New
1,Independent House,Palghar,Under Construction,New
3,Apartment,Goregaon West,Under Construction,New
2,Apartment,Taloja,Under Construction,New
1,Apartment,Rasayani,Under Construction,New
1,Apartment,Thane West,Under Construction,New
2,Apartment,Mulund West,Under Construction,New
1,Apartment,Ghatkopar East,Under Construction,New
1,Apartment,Taloja,Ready to move,New
2,Apartment,Ulhasnagar,Under Construction,New
3,Apartment,Ulwe,Ready to move,New
3,Apartment,Andheri West,Ready to move,New
2,Apartment,Naigaon East,Under Construction,New
2,Apartment,Borivali West,Under Construction,New
2,Apartment,Panvel,Under Construction,New
2,Apartment,Mira Road East,Under Construction,New
2,Apartment,Parel,Under Construction,New
5,Villa,Boisar,Under Construction,New
3,Apartment,Santacruz East,Under Construction,New
1,Apartment,Badlapur East,Ready to move,New
2,Apartment,Fort,Under Construction,New
1,Apartment,Badlapur West,Under Construction,New
2,Apartment,Khopoli,Under Construction,New
3,Apartment,Chembur,Under Construction,New
2,Apartment,Jogeshwari West,Under Construction,New
1,Apartment,Vasai,Under Construction,New
2,Apartment,Kalamboli,Under Construction,New
1,Apartment,Powai,Under Construction,New
1,Apartment,Andheri West,Ready to move,Resale
1,Apartment,Andheri West,Ready to move,Resale
1,Apartment,Nala Sopara,Ready to move,Resale
1,Apartment,Andheri West,Ready to move,Resale
1,Apartment,Goregaon East,Under Construction,Resale
1,Apartment,Palghar,Ready to move,Resale
2,Apartment,Dombivali,Under Construction,Resale
1,Apartment,Taloja,Ready to move,Resale
1,Apartment,Boisar,Under Construction,Resale
1,Apartment,Andheri West,Ready to move,Resale
4,Apartment,Kandivali East,Ready to move,Resale
1,Apartment,Andheri West,Ready to move,Resale
1,Apartment,Nala Sopara,Ready to move,Resale
1,Apartment,Andheri West,Ready to move,Resale
1,Apartment,Thane West,Ready to move,Resale
1,Apartment,Parel,Ready to move,Resale
1,Apartment,Andheri West,Ready to move,Resale
1,Apartment,Andheri West,Ready to move,Resale
1,Apartment,Andheri West,Ready to move,Resale
2,Apartment,Kurla,Ready to move,Resale
1,Apartment,Andheri West,Ready to move,Resale
1,Apartment,Thane West,Ready to move,Resale
1,Apartment,Andheri West,Ready to move,Resale
1,Apartment,Kalamboli,Ready to move,Resale
2,Apartment,Taloja,Ready to move,Resale
1,Apartment,Andheri West,Ready to move,Resale
1,Apartment,Panvel,Ready to move,Resale
1,Apartment,Panvel,Under Construction,Resale
1,Apartment,Andheri West,Ready to move,Resale
3,Apartment,Mulund West,Under Construction,New
3,Apartment,Mulund West,Under Construction,New
3,Apartment,Mulund West,Under Construction,New
3,Apartment,Mulund West,Under Construction,New
